id,stadium_name,team,logo,capacity,latitude,longitude,league,
52,Cần Thơ,"Cần Thơ",,,10.04923207,105.7890359,Third Division,
53,Hàm Rồng,"Học viện LPBank Hoàng Anh Gia Lai",,,13.86354311,108.0017098,Third Division,
54,Tuy Hòa,Phú Yên,Images/PhuYen.jpg,,13.09237176,109.3106998,Third Division,
55,Gò Đậu,Becamex Bình Dương Youth,"""https://upload.wikimedia.org/wikipedia/en/d/dd/Logo_of_Becamex_B%C3%ACnh_D%C6%B0%C6%A1ng_FC.svg"",",15000,10.96992281,106.6718854,Third Division,
56,Hàng Đẫy,Công An Hà Nội Youth,"""https://upload.wikimedia.org/wikipedia/en/1/10/CAHN_FC_logo.svg"",",19500,21.029445,105.832873,Third Division,
57,Thanh Hóa,Đông Á Thanh Hoá Youth,"""https://upload.wikimedia.org/wikipedia/en/c/cb/DATHFC_logo.svg"",",14000,19.79901448,105.7726773,Third Division,
58,Đồng Nai,Đồng Nai Youth,,30000,10.96147645,106.8625613,Third Division,
59,Thiên Trường,Nam Định Youth,https://upload.wikimedia.org/wikipedia/vi/b/b5/Namdinh_FC_Badge_%282018%29.svg,22000,20.4361652,106.1804129,Third Division,
61,Tam Đảo,Trung tâm bóng đá Đào Hà,,,21.39808089,105.610851,Third Division,https://www.facebook.com/profile.php?id=100057360103453
62,Phúc Yên,Zantino Vĩnh Phúc,,,21.22918447,105.7096793,Third Division,
